42 | IDLC | 42.4 | 43.8 | 41.8 | 42.4 | 42.4 | 0 | 1,386 | 73.2150 | 1,719,533 | 
43 | CVOPRL | 146.4 | 147.3 | 141.7 | 146.4 | 142.1 | 4.3 | 2,324 | 72.6700 | 501,602 | 
44 | CONFIDCEM | 58.6 | 58.9 | 56.2 | 58.6 | 55.9 | 2.7 | 2,007 | 71.1860 | 1,233,330 | 
45 | NCCBANK | 13.1 | 13.3 | 12.9 | 13.1 | 13 | 0.1 | 700 | 67.8140 | 5,159,753 | 
46 | SIMTEX | 17.1 | 18.3 | 17 | 17.1 | 16.9 | 0.2 | 1,469 | 67.4170 | 3,856,571 | 
47 | SONALIPAPR | 163.2 | 163.8 | 157.2 | 163.2 | 156.1 | 7.1 | 2,619 | 67.1000 | 413,495 | 
48 | SAIHAMCOT | 14.7 | 15.2 | 14.5 | 14.7 | 14.4 | 0.3 | 1,083 | 67.0290 | 4,537,498 | 
49 | PREMIERBAN | 8 | 8.1 | 7.6 | 8 | 7.6 | 0.4 | 912 | 61.5850 | 7,775,455 | 
50 | SPCL | 44.2 | 44.5 | 41.9 | 44.2 | 42.5 | 1.7 | 1,602 | 61.0680 | 1,406,967 | 
51 | ACMELAB | 83.3 | 83.7 | 80.5 | 83.3 | 80.4 | 2.9 | 1,643 | 60.6780 | 738,893 | 
52 | SHAHJABANK | 19 | 19.5 | 18.8 | 19 | 18.9 | 0.1 | 430 | 56.9170 | 2,997,974 | 
53 | EIL | 33.7 | 34.9 | 33.4 | 33.7 | 34.5 | -0.8 | 2,331 | 56.7730 | 1,666,188 | 
54 | IFIC | 6.9 | 7.1 | 6.7 | 6.9 | 6.8 | 0.1 | 1,214 | 54.8650 | 7,944,730 | 
55 | KBPPWBIL | 118.9 | 122.5 | 117.5 | 118.9 | 120.7 | -1.8 | 1,431 | 53.8690 | 450,637 | 
56 | RUPALIBANK | 24.2 | 25.4 | 23.9 | 24.2 | 24 | 0.2 | 1,465 | 52.8970 | 2,155,771 | 
57 | MIDLANDBNK | 20.5 | 20.8 | 19.7 | 20.5 | 19.7 | 0.8 | 1,625 | 52.5260 | 2,588,232 | 
58 | MTB | 13.8 | 14.2 | 13.7 | 13.8 | 13.9 | -0.1 | 862 | 49.0640 | 3,526,701 | 
59 | BERGERPBL | 1 | 1,582.9 | 1,545 | 1,576.4 | 1 | 14.4 | 969 | 48.8860 | 31,136 | 
60 | KAY&QUE | 272.6 | 277 | 266 | 272.6 | 265.8 | 6.8 | 1,606 | 48.4680 | 178,594 | 
61 | BSRMLTD | 91.7 | 91.9 | 83.9 | 91.2 | 83.6 | 8.1 | 1,639 | 48.2930 | 544,711 | 
62 | AGNISYSL | 26.3 | 26.6 | 26.1 | 26.3 | 26.2 | 0.1 | 1,107 | 48.0000 | 1,824,018 | 
63 | SPCERAMICS | 19.5 | 20.3 | 19.4 | 19.5 | 20.1 | -0.6 | 1,614 | 47.0470 | 2,385,190 | 
64 | QUASEMIND | 41.2 | 41.5 | 38.4 | 41.2 | 38.4 | 2.8 | 1,209 | 46.4440 | 1,150,829 | 
65 | KTL | 12.3 | 13.2 | 12.2 | 12.3 | 12.1 | 0.2 | 1,286 | 44.9640 | 3,576,279 | 
66 | APEXSPINN | 145.1 | 152 | 142.5 | 145.1 | 143.1 | 2 | 1,178 | 43.3720 | 298,359 | 
67 | SEMLLECMF | 8 | 9 | 8 | 8 | 8.8 | -0.8 | 1,427 | 43.1400 | 5,299,443 | 
68 | GP | 318.5 | 319 | 313 | 318.5 | 313 | 5.5 | 930 | 42.0760 | 132,516 | 
69 | INTRACO | 22.1 | 22.3 | 21.3 | 22.1 | 21.2 | 0.9 | 1,114 | 41.2720 | 1,895,277 | 
70 | MEGHNALIFE | 58 | 58.3 | 55.5 | 58 | 55.2 | 2.8 | 1,282 | 40.3970 | 710,956 | 
71 | ETL | 9.3 | 9.9 | 9.2 | 9.3 | 9.3 | 0 | 1,035 | 38.8760 | 4,083,277 | 
72 | PTL | 49.2 | 51.4 | 48.8 | 49.2 | 48.9 | 0.3 | 947 | 37.7950 | 755,535 | 
73 | DOMINAGE | 13 | 13.6 | 12.8 | 13 | 13.3 | -0.3 | 742 | 37.7440 | 2,859,019 | 
74 | MATINSPINN | 51.6 | 53.2 | 51.4 | 51.6 | 50.7 | 0.9 | 1,093 | 37.5700 | 718,757 | 
75 | JAMUNAOIL | 193.3 | 194 | 190.4 | 193.3 | 190.4 | 2.9 | 994 | 37.5300 | 194,509 | 
76 | TILIL | 55.3 | 56.1 | 54.1 | 55.3 | 54.7 | 0.6 | 863 | 36.4260 | 659,884 | 
77 | TECHNODRUG | 32.3 | 32.5 | 31.9 | 32.3 | 31.8 | 0.5 | 945 | 36.3520 | 1,126,031 | 
